,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1357,SUI-H.V,"04/20/2020, 07:32:13",0.16,52940000.0,8470000.0,8430000.0,0,0,0,0.0,10.0,315.0,0.0,-284.0,2019-07-31,2019-07-31,2019-07-31
1358,SUNM.V,"04/20/2020, 07:32:34",0.08,148000000.0,11840000.0,7040000.0,-9290000.0,0.0,0,0.0,4797.0,2598.0,0.0,-10142.0,2019-12-31,2019-12-31,2019-12-31
1359,SUP.V,"04/20/2020, 07:32:55",0.235,58150000.0,13670000.0,12130000.0,0,0,0,0.0,431.0,138.0,0.0,-842.0,2019-12-31,2019-12-31,2019-12-31
1360,SUR.V,"04/20/2020, 07:33:15",0.01,95960000.0,0.0,0.0,-1050000.0,0.0,0,0.0,282.0,115.0,0.0,-1510.0,2018-12-31,2018-12-31,2018-12-31
1361,SURG.V,"04/20/2020, 07:33:35",0.11,59460000.0,6540000.0,6620000.0,0.0,0.0,0.0,0.0,8.0,342.0,0.0,-440.0,2019-03-31,2019-03-31,2019-03-31
1362,SVA.V,"04/20/2020, 07:33:56",0.135,195940000.0,26450000.0,23560000.0,-4600000.0,0.0,0.0,0.0,3804.0,686.0,0.0,-4192.0,2019-10-31,2019-10-31,2019-10-31
1363,SVE.V,"04/20/2020, 07:34:16",0.315,170090000.0,53580000.0,51720000.0,-1150000.0,0.0,0.0,0.0,3045.0,958.0,0.0,-871.0,2019-12-31,2019-12-31,2019-12-31
1364,SVG.V,"04/20/2020, 07:34:37",0.065,28370000.0,1840000.0,1740000.0,0.0,0.0,0,0.0,139.0,136.0,0.0,-48.0,2019-03-31,2019-03-31,2019-03-31
1365,SVI.V,"04/20/2020, 07:34:57",3.19,362640000.0,1160000000.0,2210000000.0,74380000.0,0.0,0.0,0.0,24460.0,1162118.0,134963.0,39651.0,2019-12-31,2019-12-31,2019-12-31
1366,SVS.V,"04/20/2020, 07:35:17",0.07,39300000.0,2750000.0,3680000.0,-1380000.0,0.0,0,0.0,1156.0,4828.0,0.0,-1242.0,2019-07-31,2019-07-31,2019-07-31
1367,SWA.V,"04/20/2020, 07:35:37",0.055,250660000.0,13790000.0,10670000.0,-3110000.0,0.0,0,0.0,627.0,279.0,0.0,-2975.0,2018-12-31,2018-12-31,2018-12-31
1368,SXE.V,"04/20/2020, 07:35:57",0.035,107540000.0,3760000.0,3390000.0,0.0,0.0,0.0,0.0,267.0,1009.0,33.0,-617.0,2019-06-30,2019-06-30,2019-06-30
1369,SXL.V,"04/20/2020, 07:36:18",0.015,40680000.0,0.0,0.0,0.0,0.0,0,0.0,266.0,267.0,0.0,-115.0,2019-01-31,2019-01-31,2019-01-31
1370,SYH.V,"04/20/2020, 07:36:38",0.175,75360000.0,13190000.0,11580000.0,0.0,0.0,0,0.0,1352.0,313.0,0.0,-1362.0,2019-03-31,2019-03-31,2019-03-31
1371,SYZ.V,"04/20/2020, 07:36:58",8.55,23800000.0,203490000.0,163780000.0,15370000.0,0.0,0.0,0.0,53096.0,19691.0,0.0,16993.0,2019-09-30,2019-09-30,2019-09-30
1372,SZM.V,"04/20/2020, 07:37:22",0.4,10100000.0,4099999.9999999995,3080000.0,-1220000.0,0.0,0.0,0.0,279.0,3329.0,0.0,-914.0,2018-12-31,2018-12-31,2018-12-31
1373,TAJ.V,"04/20/2020, 07:37:42",0.065,86720000.0,5640000.0,5310000.0,0,0,0,0.0,74.0,218.0,0.0,-779.0,2019-04-30,2019-04-30,2019-04-30
1374,TAL.V,"04/20/2020, 07:38:04",0.225,672200000.0,151240000.0,131320000.0,8189999.999999999,0.0,0.0,0.0,26259.0,18570.0,9994.0,30.0,2018-12-31,2018-12-31,2018-12-31
1375,TBIX.V,"04/20/2020, 07:38:24",0.4,25360000.0,10140000.0,9760000.0,-3100000.0,0.0,0.0,0.0,1618.0,750.0,1641.0,-2367.0,2019-09-30,2019-09-30,2019-09-30
1376,TBP.V,"04/20/2020, 07:38:45",0.29,246470000.0,71480000.0,59690000.0,-14220000.0,0.0,0,0.0,2038.0,3916.0,0.0,-17343.0,2019-11-30,2019-11-30,2019-11-30
1377,TBP-WT.V,"04/20/2020, 07:39:06",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1378,TBP-WT-A.V,"04/20/2020, 07:39:26",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1379,TBP-WT-B.V,"04/20/2020, 07:39:47",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1380,TBR.V,"04/20/2020, 07:40:08",0.065,74900000.0,5380000.0,5320000.0,-1410000.0,0.0,0.0,0.0,30.0,1123.0,0.0,-1449.0,2019-09-30,2019-09-30,2019-09-30
1381,TBRD.V,"04/20/2020, 07:40:31",1.03,46670000.0,48070000.0,115180000.0,13670000.0,0.0,0.0,0.0,13430.0,83182.0,61478.0,-8574.0,2019-06-30,2019-06-30,2019-06-30
1382,TBX.V,"04/20/2020, 07:40:51",0.54,62910000.0,33970000.0,17680000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Null,ttm,ttm
1383,TCA.V,"04/20/2020, 07:41:11",0.15,39770000.0,5970000.0,22480000.0,0,0,0.0,0.0,4662.0,12809.0,3288.0,-333.0,2019-11-30,2019-11-30,2019-11-30
1384,TCAP-P.V,"04/20/2020, 07:41:31",0.06,10050000.0,0.0,0.0,0,0,0,0.0,591.0,15.0,0.0,-106.0,2019-07-31,2019-07-31,2019-07-31
