,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1371,NXE.TO,"04/22/2020, 09:07:42",1.62,360250000.0,583610000.0,722200000.0,-24020000.0,0.0,0.0,0.0,52118.0,127177.0,0.0,-12806.0,2019-12-31,2019-12-31,2019-12-31
1372,NXF.TO,"04/22/2020, 09:08:00",3.54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1373,NXF-B.TO,"04/22/2020, 09:08:16",4.35,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1374,NXJ.TO,"04/22/2020, 09:08:31",0.4,21110000.0,8440000.0,6080000.0,-6440000.0,0.0,0.0,0.0,5123.0,11677.0,17228.0,-4828.0,2019-12-31,2019-12-31,2019-12-31
1375,NZC.TO,"04/22/2020, 09:08:47",0.055,372540000.0,21230000.0,19090000.0,-14930000.0,0.0,0.0,0.0,2484.0,3992.0,0.0,-14452.0,2019-12-31,2019-12-31,2019-12-31
1376,OBE.TO,"04/22/2020, 09:09:03",0.28,73000000.0,20450000.0,594450000.0,179000000.0,0.0,0.0,0.0,1000.0,812000.0,416000.0,77000.0,2019-12-31,2019-12-31,2019-12-31
1377,OGC.TO,"04/22/2020, 09:09:20",1.87,622300000.0,1160000000.0,1390000000.0,199500000.0,0.0,0.0,0.0,49000.0,508600.0,658000.0,204300.0,2019-12-31,2019-12-31,2019-12-31
1378,OGD.TO,"04/22/2020, 09:09:35",0.55,37020000.0,20360000.0,61090000.0,10960000.0,0.0,0.0,0.0,2480.0,58119.0,152814.0,-663.0,2019-06-30,2019-06-30,2019-06-30
1379,OGI.TO,"04/22/2020, 09:09:52",2.17,173080000.0,375580000.0,430310000.0,-30150000.0,0.0,0.0,0.0,47935.0,101519.0,80413.0,-35081.0,2019-08-31,2019-08-31,2019-08-31
1380,OLA.TO,"04/22/2020, 09:10:08",2.92,0,0,0,0,0,0,0,30009.0,33640.0,0.0,-25830.0,2019-12-31,Null,Null
1381,OLY.TO,"04/22/2020, 09:10:24",38.3,2410000.0,92160000.0,86800000.0,10220000.0,0.0,0.0,0.0,12835.0,8435.0,38597.0,10611.0,2018-12-31,2018-12-31,2018-12-31
1382,OMI.TO,"04/22/2020, 09:10:41",0.035,160280000.0,5610000.0,5150000.0,-5320000.0,0.0,0,0.0,512.0,23641.0,0.0,-2761.0,2019-05-31,2019-05-31,2019-05-31
1383,ONC.TO,"04/22/2020, 09:10:56",1.92,37380000.0,71760000.0,58120000.0,-20570000.0,0.0,0,0.0,14148.0,19766.0,0.0,-19906.0,2019-12-31,2019-12-31,2019-12-31
1384,ONC-WT.TO,"04/22/2020, 09:11:13",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1385,ONEB.TO,"04/22/2020, 09:11:29",51.25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1386,ONEQ.TO,"04/22/2020, 09:11:47",22.33,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1387,ONEX.TO,"04/22/2020, 09:12:04",60.5,98290000.0,5950000000.0,5140000000.0,857000000.0,0.0,0.0,0.0,988000.0,4819000.0,241000.0,465000.0,2019-12-31,2019-12-31,2019-12-31
1388,OPS.TO,"04/22/2020, 09:12:20",0.58,90280000.0,52360000.0,57360000.0,-4540000.0,0.0,0.0,0.0,14856.0,12648.0,32752.0,-1247.0,2019-08-31,2019-08-31,2019-08-31
1389,OPT.TO,"04/22/2020, 09:12:36",23.0,5320000.0,122260000.0,151600000.0,12000000.0,0.0,0,0.0,36175.0,161087.0,121627.0,-61012.0,2018-09-30,2018-09-30,2018-09-30
1390,OR.TO,"04/22/2020, 09:12:53",11.88,165320000.0,1960000000.0,2120000000.0,100980000.0,0.0,0.0,0.0,128927.0,453807.0,392599.0,91598.0,2019-12-31,2019-12-31,2019-12-31
1391,OR-DB.TO,"04/22/2020, 09:13:09",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1392,OR-WT.TO,"04/22/2020, 09:13:27",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1393,ORA.TO,"04/22/2020, 09:13:43",57.0,4350000.0,248170000.0,252730000.0,52360000.0,0.0,0.0,0.0,38870.0,154889.0,226202.0,36412.0,2019-12-31,2019-12-31,2019-12-31
1394,ORL.TO,"04/22/2020, 09:13:58",1.87,261980000.00000003,484200000.0,618860000.0,16110000.0,0.0,0.0,0.0,398970.0,539487.0,115712.0,0.0,2019-06-30,2019-06-30,2019-06-30
1395,ORV.TO,"04/22/2020, 09:14:14",0.18,136620000.0,24590000.0,34360000.0,17290000.0,0.0,0.0,0.0,12351.0,80296.0,135544.0,14444.0,2019-09-30,2019-09-30,2019-09-30
1396,OSB.TO,"04/22/2020, 09:14:32",16.4,81530000.0,1340000000.0,2049999999.9999998,125000000.0,0.0,0.0,0.0,20000.0,1217000.0,1731000.0,19000.0,2019-12-31,2019-12-31,2019-12-31
1397,OSK.TO,"04/22/2020, 09:14:48",3.12,290020000.0,904880000.0,847810000.0,-21340000.0,0.0,0.0,0.0,157558.0,110349.0,0.0,-3602.0,2019-12-31,2019-12-31,2019-12-31
1398,OSL-UN.TO,"04/22/2020, 09:15:03",6.8,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Null,ttm,ttm
